nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.157 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:41.158 DEBUG2 : 		STLinkReadReg
nov 12/21:41:41.160 DEBUG2 : 		ReadTarget16
nov 12/21:41:41.161 DEBUG2 : 		ReadTarget32
nov 12/21:41:41.161 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:41.162 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 12/21:41:41.162 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 12/21:41:41.162 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 12/21:41:41.163 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 12/21:41:41.163 DEBUG2 : 		Go >
nov 12/21:41:41.164 DEBUG2 : 		Go <
nov 12/21:41:41.166 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.168 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.170 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.173 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.175 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.176 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.179 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.181 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.183 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.185 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.186 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.188 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.190 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:41.192 DEBUG2 : 		STLinkIsCpuHalted
